,nct_id,version_date,document_type,document_date,upload_date,no_sap
0,NCT00200161,2018-03-05,Study Protocol and Statistical Analysis Plan,"November 8, 2011",01/10/2018 14:58,
1,NCT00345865,2020-07-10,Study Protocol and Statistical Analysis Plan,"January 16, 2014",06/24/2020 11:20,
2,NCT00352794,2019-07-18,Study Protocol and Statistical Analysis Plan,"January 14, 2014",04/19/2019 11:08,
3,NCT00363649,2018-10-10,Study Protocol and Statistical Analysis Plan,"April 25, 2014",09/25/2018 11:56,
4,NCT00450814,2019-11-21,Study Protocol and Statistical Analysis Plan,"January 20, 2017",07/15/2019 15:09,
5,NCT00495170,2019-01-17,Study Protocol and Statistical Analysis Plan,"December 6, 2010",07/10/2018 18:30,
6,NCT00554788,2019-06-05,Study Protocol and Statistical Analysis Plan,"February 14, 2014",05/10/2019 15:04,
7,NCT00590954,2020-09-22,Study Protocol and Statistical Analysis Plan,"October 25, 2011",08/06/2020 11:31,
8,NCT00686374,2018-03-20,Study Protocol,"May 26, 2015",02/28/2018 11:19,
9,NCT00686374,2018-03-20,Statistical Analysis Plan,"April 11, 2017",02/28/2018 11:20,
10,NCT00777920,2020-09-08,Study Protocol,"June 12, 2013",08/07/2020 14:18,
11,NCT00777920,2020-09-08,Statistical Analysis Plan,"July 13, 2020",08/07/2020 14:19,
12,NCT00790933,2019-02-15,Statistical Analysis Plan,"January 7, 2013",10/31/2018 09:09,
13,NCT00790933,2019-02-15,Study Protocol,"August 22, 2016",10/31/2018 09:12,
14,NCT00950248,2019-02-11,Study Protocol,"June 14, 2018",10/23/2018 10:56,
15,NCT00950248,2019-02-11,Statistical Analysis Plan,"February 14, 2018",10/23/2018 10:56,
16,NCT00988052,2019-01-07,Study Protocol and Statistical Analysis Plan,"February 25, 2016",11/28/2018 08:24,
17,NCT01038778,2019-10-14,Study Protocol and Statistical Analysis Plan,"May 29, 2019",10/11/2019 14:38,
18,NCT01042015,2018-05-15,Study Protocol,"April 26, 2016",05/15/2018 16:25,
19,NCT01077154,2019-03-25,Study Protocol,"October 17, 2016",08/13/2018 10:03,
20,NCT01077154,2019-03-25,Statistical Analysis Plan: SAP 3.0,"November 15, 2017",08/13/2018 10:03,
21,NCT01077154,2019-03-25,Statistical Analysis Plan: SAP 3.0 Addendum,"March 26, 2018",03/25/2019 13:39,
22,NCT01185171,2020-05-18,Study Protocol and Statistical Analysis Plan,"November 20, 2013",03/31/2020 10:33,
23,NCT01191840,2017-12-12,Statistical Analysis Plan,"December 12, 2013",11/06/2017 13:36,
24,NCT01191840,2017-12-12,Study Protocol: Amendment 4,"November 5, 2014",11/06/2017 14:19,
25,NCT01191840,2017-12-12,Informed Consent Form: Amendment 4 ICF,"November 5, 2014",11/06/2017 14:21,
26,NCT01203722,2021-01-11,Study Protocol and Statistical Analysis Plan,"November 4, 2020",01/08/2021 19:57,
27,NCT01205776,2018-03-01,Study Protocol,"February 8, 2016",02/27/2018 07:08,
28,NCT01205776,2018-03-01,Statistical Analysis Plan,"January 26, 2016",02/27/2018 07:09,
29,NCT01211288,2020-05-01,Study Protocol and Statistical Analysis Plan,"August 30, 2019",04/21/2020 15:46,
30,NCT01236547,2020-05-13,Study Protocol and Statistical Analysis Plan,"March 6, 2020",05/13/2020 08:53,
31,NCT01237951,2020-04-23,Study Protocol and Statistical Analysis Plan,"June 5, 2015",05/03/2018 18:30,
32,NCT01312779,2020-02-18,Study Protocol and Statistical Analysis Plan,"November 11, 2011",12/10/2019 18:02,
33,NCT01364467,2020-04-14,Study Protocol,"February 25, 2019",04/02/2020 17:15,
34,NCT01364467,2020-04-14,Statistical Analysis Plan,"February 25, 2019",04/02/2020 17:18,
35,NCT01371825,2019-01-10,Study Protocol,"January 5, 2016",11/28/2018 14:52,
36,NCT01371825,2019-01-10,Statistical Analysis Plan,"March 7, 2014",12/06/2018 15:15,
37,NCT01393717,2018-03-28,Study Protocol and Statistical Analysis Plan,"February 1, 2017",01/30/2018 18:45,
38,NCT01407952,2019-06-10,Study Protocol and Statistical Analysis Plan,"September 4, 2014",03/30/2019 14:12,
39,NCT01413178,2020-04-07,Study Protocol and Statistical Analysis Plan,"December 14, 2015",01/15/2020 19:04,
40,NCT01445171,2020-02-06,Study Protocol and Statistical Analysis Plan,"September 15, 2011",01/03/2020 17:18,
41,NCT01465841,2020-06-18,Study Protocol and Statistical Analysis Plan,"November 10, 2011",05/20/2019 19:10,
42,NCT01493778,2018-10-05,Study Protocol and Statistical Analysis Plan,"September 21, 2017",08/14/2018 08:02,
43,NCT01529060,2019-03-04,Study Protocol,"October 16, 2017",10/16/2017 12:40,
44,NCT01529060,2019-03-04,Statistical Analysis Plan,"October 16, 2017",10/16/2017 12:40,
45,NCT01539291,2019-08-12,Study Protocol: Original,"January 23, 2012",04/03/2019 01:57,
46,NCT01539291,2019-08-12,Study Protocol: Amendment 1,"January 23, 2013",04/03/2019 01:58,
47,NCT01539291,2019-08-12,Study Protocol: Amendment 2,"September 10, 2013",04/03/2019 01:59,
48,NCT01539291,2019-08-12,Study Protocol: Amendment 3,"December 16, 2013",04/03/2019 02:00,
49,NCT01539291,2019-08-12,Study Protocol: Amendment 4,"May 27, 2014",04/03/2019 02:02,
50,NCT01539291,2019-08-12,Study Protocol: Amendment 5,"October 10, 2014",04/03/2019 02:04,
51,NCT01539291,2019-08-12,Study Protocol: Amendment 6,"March 28, 2016",04/03/2019 02:05,
52,NCT01539291,2019-08-12,Study Protocol: Amendment 7,"August 5, 2016",04/03/2019 02:06,
53,NCT01539291,2019-08-12,Statistical Analysis Plan: Blinded,"November 4, 2013",04/03/2019 02:09,
54,NCT01539291,2019-08-12,Statistical Analysis Plan: Open Label,"January 26, 2015",04/03/2019 02:12,
55,NCT01539291,2019-08-12,Study Protocol: Amendment 8,"October 24, 2016",04/03/2019 02:13,
56,NCT01539291,2019-08-12,Study Protocol: Amendment 9,"September 21, 2017",04/03/2019 02:14,
57,NCT01551420,2019-04-08,Study Protocol and Statistical Analysis Plan,"June 16, 2017",04/08/2019 14:38,
58,NCT01553188,2018-10-05,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","January 18, 2017",01/11/2018 08:29,
59,NCT01557790,2019-11-04,Study Protocol and Statistical Analysis Plan,"May 13, 2014",11/04/2019 14:53,
60,NCT01561053,2019-07-10,Study Protocol,"February 21, 2018",05/08/2019 14:58,
61,NCT01561053,2019-07-10,Statistical Analysis Plan,"July 31, 2018",05/08/2019 15:00,
62,NCT01567891,2018-12-07,Statistical Analysis Plan,"February 7, 2017",07/13/2018 11:14,
63,NCT01567891,2018-12-07,Study Protocol,"February 7, 2017",07/13/2018 11:17,
64,NCT01573533,2020-01-29,Study Protocol and Statistical Analysis Plan,"May 30, 2017",01/27/2020 14:49,
