nct_id,version_date,document_type,document_date,upload_date,no_sap
NCT00445601,18/04/2018,"Study Protocol, Statistical Analysis Plan, and Informed Consent Form","October 29, 2013",12/21/2017 15:38,
NCT00489281,25/03/2019,Study Protocol and Statistical Analysis Plan,"July 1, 2016",03/21/2019 10:32,
NCT00667615,07/12/2017,Study Protocol and Statistical Analysis Plan,"December 13, 2011",09/07/2017 14:10,
NCT00790933,15/02/2019,Statistical Analysis Plan,"January 7, 2013",10/31/2018 09:09,
NCT00790933,15/02/2019,Study Protocol,"August 22, 2016",10/31/2018 09:12,
NCT00909363,15/03/2019,Study Protocol and Statistical Analysis Plan,"September 18, 2015",12/21/2018 11:41,
NCT00946712,13/02/2019,Study Protocol and Statistical Analysis Plan,"October 3, 2016",12/06/2018 10:39,
NCT00946712,13/02/2019,Informed Consent Form,"October 3, 2016",12/06/2018 10:40,
NCT01011439,15/10/2018,Study Protocol,"March 9, 2017",05/22/2018 06:27,
NCT01011439,15/10/2018,Statistical Analysis Plan: CDKO-125a-006_ALG_V1,"July 8, 2013",05/22/2018 08:05,
NCT01011439,15/10/2018,Statistical Analysis Plan: CDKO-125a-006_TLG_V1,"July 8, 2013",05/22/2018 08:09,
NCT01085630,04/03/2019,Study Protocol and Statistical Analysis Plan,"December 3, 2018",02/05/2019 12:00,
NCT01094301,07/09/2018,Study Protocol and Statistical Analysis Plan,"February 28, 2017",07/25/2018 13:26,
NCT01191840,12/12/2017,Statistical Analysis Plan,"December 12, 2013",11/06/2017 13:36,
NCT01191840,12/12/2017,Study Protocol: Amendment 4,"November 5, 2014",11/06/2017 14:19,
NCT01191840,12/12/2017,Informed Consent Form: Amendment 4 ICF,"November 5, 2014",11/06/2017 14:21,
NCT01307501,06/09/2019,Study Protocol,"August 9, 2011",09/06/2019 08:56,
NCT01307501,06/09/2019,Statistical Analysis Plan,"August 27, 2012",09/06/2019 08:57,
NCT01312909,29/05/2018,Study Protocol,"July 9, 2012",05/29/2018 13:40,
NCT01312909,29/05/2018,Statistical Analysis Plan,"July 19, 2017",05/29/2018 13:40,
NCT01377389,16/09/2019,Study Protocol and Statistical Analysis Plan,"February 15, 2013",04/03/2019 10:42,
NCT01390220,09/05/2019,Study Protocol,"May 20, 2015",05/09/2019 11:54,
NCT01390220,09/05/2019,Statistical Analysis Plan,"April 14, 2017",05/09/2019 11:55,
NCT01425723,21/11/2018,Study Protocol,"November 13, 2013",10/05/2018 08:11,
NCT01425723,21/11/2018,Statistical Analysis Plan,"September 5, 2017",10/05/2018 08:12,
NCT01454739,21/11/2018,Study Protocol,"August 26, 2013",10/05/2018 08:05,
NCT01454739,21/11/2018,Statistical Analysis Plan,"March 10, 2017",10/05/2018 08:07,
NCT01552369,30/03/2018,Study Protocol and Statistical Analysis Plan,"January 21, 2016",09/26/2017 16:13,
NCT01560780,20/09/2019,Study Protocol and Statistical Analysis Plan,"December 12, 2012",05/21/2019 11:54,
NCT01573273,11/03/2019,Study Protocol and Statistical Analysis Plan,"August 1, 2016",01/07/2019 09:05,
NCT01582061,24/05/2018,Statistical Analysis Plan,"March 10, 2017",01/26/2018 12:50,
NCT01582061,24/05/2018,Study Protocol,"November 13, 2015",01/26/2018 12:50,
NCT01584024,22/01/2019,Study Protocol and Statistical Analysis Plan,"October 18, 2011",12/22/2018 11:38,
NCT01589094,01/10/2019,Study Protocol and Statistical Analysis Plan,"July 14, 2015",07/22/2019 15:24,
NCT01602120,20/02/2019,Study Protocol and Statistical Analysis Plan,"May 18, 2017",01/23/2019 08:33,
NCT01618305,10/12/2019,Statistical Analysis Plan,"February 28, 2019",12/09/2019 14:48,
NCT01618305,10/12/2019,Study Protocol,"April 2, 2015",12/09/2019 16:04,
NCT01656733,27/09/2019,Study Protocol and Statistical Analysis Plan,"January 18, 2016",01/15/2019 10:52,
NCT01688973,12/12/2018,Study Protocol and Statistical Analysis Plan,"May 10, 2016",12/12/2018 11:33,
NCT01691898,18/04/2018,Study Protocol and Statistical Analysis Plan,"October 3, 2017",03/06/2018 04:04,
NCT01710137,14/08/2019,Study Protocol and Statistical Analysis Plan,"February 13, 2018",08/14/2019 10:54,
NCT01753999,25/06/2018,Study Protocol,"May 18, 2016",04/11/2018 11:42,
NCT01753999,25/06/2018,Statistical Analysis Plan,"April 10, 2018",06/25/2018 13:57,
